Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2019-04-06	",1766.92,24448,29.7,0,16,7067.68,29.632,24
"2019-04-07	",892.65,11401,29.9,0,17,3570.6,31.484,18
"2019-05-09	",743.48,10149,27.3,1.3,13,2973.92,24.076,17
"2019-05-10	",1465.52,19901,28,6.7,23,5862.08,42.596 ,22
"2019-05-11	",1363.54,18567,28.5,0,14,5454.16,25.928,21
"2019-05-12	",1487.35,19748,29.7,0,14,5949.4,25.928,20
"2019-05-13	",1171.48,15777,27.5,19.9,13,4685.92,24.076,26
"2019-05-14	",1352.32,18895,28.3,1.2,14,5409.28,25.928,18
"2019-05-15	",1243.51,18132,27.5,10.7,24,4974.04, 44.448,13
"2019-05-16	",1219.21,16563,27.2,1.9,15,4876.84,27.78,16
"2019-05-17	",1615.07,22105,29.1,0,12,6460.28,22.224,15
"2019-05-18	",1487,19202,28.2,6.6,14,5948,25.928,25
"2019-05-19	",1650.87,23923,27.6,12.1,18,6603.48,33.336,21
"2019-05-20	",1760.64,23786,28.2,4.7,6,7042.56,11.112,19
"2019-05-21	",1586.43,21850,28.7,7.7,14,6345.72,25.928,18
"2019-05-22	",1362.72,17865,28.9,0,15,5450.88,27.78,17
"2019-05-23	",1280.52,16805,27.8,1.5,25,5122.08,46.3,15
"2019-05-24	",1419.03,18300,27.8,0,14,5676.12,25.928,16
"2019-05-25	",1182.98,16626,26.7,10.4,17,4731.92,31.484,15
"2019-05-26	",1604.6,22651,28.2,10.6,14,6418.4,25.928,11
"2019-05-27	",1482.68,19370,28.6,0.2,11,5930.72,20.372,11
"2019-05-29	",1511.47,18458,27.8,5.7,22,6045.88,40.744,16
"2019-05-30	",1159.76,15162,28.6,0.1,12,4639.04,22.224,14
"2019-05-31	",1327.08,17053,28.5,7.9,10,5308.32,20.372,12
